speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
ANAKIN,OBI-WAN,86,I was about to say that.,1,6,
PALPATINE,"OBI-WAN, ANAKIN",87,Get help! You're no match for him. He's a Sith Lord.,1,11,
OBI-WAN,PALPATINE,88,"Chancellor Palpatine, Sith Lords are our specialty.",1,7,
COUNT DOOKU,"OBI-WAN, ANAKIN",89,"Your swords, please. We don't want to make a mess of things in front of the Chancellor.",1,17,
OBI-WAN,COUNT DOOKU,90,"You won't get away this time, Dooku.",1,7,
COUNT DOOKU,"OBI-WAN, ANAKIN",91,I've been looking forward to this.,1,6,
ANAKIN,COUNT DOOKU,92,"My powers have doubled since the last time we met, Count.",1,11,
COUNT DOOKU,ANAKIN,93,"Good. Twice the pride, double the fall.",1,7,
PALPATINE,NA,94,Get-,1,1,
COUNT DOOKU,ANAKIN,95,"I sense great fear in you, Skywalker. You have hate, you have anger, but you don't use them.",1,18,
PALPATINE,ANAKIN,96,"Good, Anakin, good.Kill him. Kill him now!",1,9,
ANAKIN,PALPATINE,97,I shouldn't...,1,2,
PALPATINE,ANAKIN,98,"Do it!! You did well, Anakin. He was too dangerous to be kept alive.",2,14,
ANAKIN,PALPATINE,99,"Yes, but he was an unarmed prisoner. I shouldn't have done that, Chancellor. It's not the Jedi way.",2,18,
PALPATINE,ANAKIN,100,"It is only natural. He cut off your arm, and you wanted revenge. It wasn't the first time, Anakin. Remember what you told me about your mother and the Sand People. Now, we must leave before more security droids arrive. Anakin, there is no time. We must get off the ship before it's too late.",2,55,
ANAKIN,PALPATINE,101,He seems to be all right.,1,6,
PALPATINE,ANAKIN,102,"Leave him, or we'll never make it.",1,7,
ANAKIN,PALPATINE,103,His fate will be the same as ours.,1,8,
GENERAL GRIEVOUS,PILOT,104,Prepare for attack.,1,3,
PILOT,NA,105,All batteries fire! Fire!,1,4,
ANAKIN,PALPATINE,106,"Elevator's not working,",1,3,
ANAKIN,R2D2,107,Artoo... ...Activate Elevator 3224.,2,4,
PILOT,NA,108,Reverse stabilizers.,1,2,
DROID PILOT,NA,109,Reversing stabilizers,1,2,
R2D2,NA,110,YELL,1,1,
PILOT,NA,111,Magnetize! Magnetize!,1,2,
GENERAL GRIEVOUS,PILOT,112,Fire the emergency booster engines.,1,5,
PILOT,GENERAL GRIEVOUS,113,"We're leveling out, sir.",1,4,
ANAKIN,OBI-WAN,114,Easy... We're in a bit of a situation.,1,8,
OBI-WAN,ANAKIN,115,Did I miss something?,1,4,
ANAKIN,OBI-WAN,116,Hold on.,1,2,
OBI-WAN,ANAKIN,117,What is that?,1,3,
ANAKIN,OBI-WAN,118,"Uh, oops.",1,2,
ANAKIN,R2D2,119,"Artoo, Artoo, shut down the elevator!",1,6,
OBI-WAN,ANAKIN,120,Too late! Jump! Let's see if we can find something in the hangar bay that's still flyable. Come on.,2,19,
ANAKIN,R2D2,121,"Artoo, get down here. Artoo, do you copy?",1,8,
BODYGUARD,GENERAL GRIEVOUS,122,"General, we found the Jedi. They're in hallway 328.",1,9,
GENERAL GRIEVOUS,NA,123,Activate ray shields.,1,3,
ANAKIN,OBI-WAN,124,Ray shields!,1,2,
OBI-WAN,ANAKIN,125,"Wait a minute, how'd this happen! We're smarter than this.",1,10,
ANAKIN,OBI-WAN,126,Apparently not. I say patience.,2,5,
OBI-WAN,ANAKIN,127,Patience?,1,1,
ANAKIN,OBI-WAN,128,"Yes, Artoo will be along in a few moments and then he'll release the ray shields...",1,16,
ANAKIN,OBI-WAN,129,See! No problem.,1,3,
SUPER BATTLE DROID,"ANAKIN, OBI-WAN, PALPATINE",130,Don't move.,1,2,
OBI-WAN,ANAKIN,131,Do you have a plan B?,1,6,
GENERAL GRIEVOUS,OBI-WAN,132,"Ah yes. The Negotiator, General Kenobi. We've been waiting for you. That wasn't much of a rescue.",1,17,
GENERAL GRIEVOUS,ANAKIN,133,And Anakin Skywalker... I was expecting someone with your reputation to be a little older.,1,15,
ANAKIN,GENERAL GRIEVOUS,134,General Grievous... You're shorter than I expected.,1,7,
GENERAL GRIEVOUS,ANAKIN,135,Jedi scum...,1,2,
OBI-WAN,ANAKIN,136,"We have a job to do. Anakin, try not to upset him.",1,12,
GENERAL GRIEVOUS,"ANAKIN, OBI-WAN",137,Your lightsabers will make a fine addition to my collection.,1,10,
OBI-WAN,GENERAL GRIEVOUS,138,Not this time. And this time you won't escape.,1,9,
ANAKIN,R2D2,139,Artoo.,1,1,
GENERAL GRIEVOUS,NA,140,Crush them! Make them suffer! Stay at your stations.,2,9,
R2D2,R2D2,141,[rapid beeping],1,7,
GENERAL GRIEVOUS,NA,142,Don't bother with them. Keep the ship in orbit.,1,9,
GENERAL GRIEVOUS,OBI-WAN,143,"You lose, General Kenobi.",1,4,
GENERAL GRIEVOUS,GENERAL GRIEVOUS,144,Time to abandon ship.,1,4,
ANAKIN,OBI-WAN,145,All the escape pods have been launched.,1,7,
OBI-WAN,ANAKIN,146,Grievous. Can you fly a cruiser like this?,1,8,
ANAKIN,OBI-WAN,147,"You mean, do I know how to land what's left of this thing?",1,13,
OBI-WAN,ANAKIN,148,Well?,1,1,
ANAKIN,OBI-WAN,149,"Under the circumstances, I'd say the ability to pilot this thing is irrelevant. Strap yourselves in. Open all hatches, extend all flaps, and drag fins.",2,25,
R2D2,"ANAKIN, OBI-WAN",150,UH OH,1,2,
ANAKIN,OBI-WAN,151,We lost something.,1,3,
OBI-WAN,ANAKIN,152,"Not to worry, we're still flying half a ship.",1,9,
ANAKIN,OBI-WAN,153,Now we're really picking up speed...,1,6,
OBI-WAN,ANAKIN,154,Eight plus sixty. We're in the atmosphere...,1,8,
