speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
ANAKIN,PALPATINE,338,What happened to him?,1,4,
PALPATINE,ANAKIN,339,"He became so powerful... the only thing he was afraid of was losing his power, which eventually, of course, he did. Unfortunately, he taught his apprentice everything he knew, then his apprentice killed him in his sleep. It's ironic he could save others from death, but not himself.",2,48,
ANAKIN,PALPATINE,340,Is it possible to learn this power?,1,7,
PALPATINE,ANAKIN,341,Not from a Jedi.,1,4,
KI-ADI-MUNDI,ANAKIN,342,Palpatine thinks General Grievous is on Utapau?,1,7,
ANAKIN,"KI-ADI-MUNDI, OBI-WAN, MACE WINDU, YODA, CHEWIE",343,A partial message was intercepted in a diplomatic packet from the Chairman of Utapau.,1,14,
YODA,"ANAKIN, KI-ADI-MUNDI, OBI-WAN, MACE WINDU, CHEWIE",344,"Act on this, we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed.",1,20,
ANAKIN,"KI-ADI-MUNDI, OBI-WAN, MACE WINDU, YODA, CHEWIE",345,The Chancellor has requested that I lead the campaign.,1,9,
MACE WINDU,"KI-ADI-MUNDI, OBI-WAN, ANAKIN, YODA, CHEWIE",346,"The Council will make up its own mind who is to go, not the Chancellor.",1,15,
YODA,"KI-ADI-MUNDI, OBI-WAN, MACE WINDU, ANAKIN, CHEWIE",347,"A Master is needed, with more experience.",1,7,
KI-ADI-MUNDI,"OBI-WAN, MACE WINDU, ANAKIN, YODA, CHEWIE",348,I concur. Master Kenobi should go.,1,6,
YODA,"KI-ADI-MUNDI, OBI-WAN, MACE WINDU, ANAKIN, CHEWIE",349,I agree.,1,2,
KI-ADI-MUNDI,"OBI-WAN, MACE WINDU, ANAKIN, YODA, CHEWIE",350,Aye,1,1,
MACE WINDU,"KI-ADI-MUNDI, OBI-WAN, ANAKIN, YODA, CHEWIE",351,Aye Very well. Council is adjourned.,2,6,
CLONE COMMANDER GREE,YODA,352,The droids have started up their main power generators.,1,9,
YODA,NA,353,"Then now the time is, Commander.",1,6,
CHEWIE,NA,354,GROWL,1,1,
CLONE COMMANDER GREE,NA,355,"Yes, sir.",1,2,
ANAKIN,OBI-WAN,356,"You're going to need me on this one, Master.",1,9,
OBI-WAN,ANAKIN,357,"Oh, I agree. However it may turn out just to be a wild bantha chase.",1,15,
ANAKIN,OBI-WAN,358,Master! I've disappointed you. I have not been very appreciative of your training... I have been arrogant and I apologize... I've just been so frustrated with the Council.,2,28,
OBI-WAN,ANAKIN,359,"You are strong and wise, Anakin, and I am very proud of you. I have trained you since you were a small boy. I have taught you everything I know. And you have become a far greater Jedi than I could ever hope to be. But be patient, Anakin. It won't be long before the Council makes you a Jedi Master.",1,61,
ANAKIN,OBI-WAN,360,Obi-Wan. May the Force be with you.,1,7,
OBI-WAN,ANAKIN,361,"Good-bye, old friend. May the Force be with you.",1,9,
CLONE COMMANDER CODY,OBI-WAN,362,"Fortunately, most of the cities are concentrated on this small continent here... on the far side.",1,16,
OBI-WAN,CLONE COMMANDER CODY,363,I'll keep them distracted until you get there. Just don't take too long.,1,13,
CLONE COMMANDER CODY,OBI-WAN,364,"Come on, when have I ever let you down?",1,9,
OBI-WAN,CLONE COMMANDER CODY,365,"Very well, the burden is on me not to destroy all the droids unil you arrive",1,16,
OBI-WAN,NA,366,Save your energy.,1,3,
PADME,NA,367,I can't!,1,2,
OBI-WAN,NA,368,"Don't give up, Padme.",1,4,
ANAKIN,PADME,369,"Obi-Wan's been here, hasn't he?",1,5,
PADME,ANAKIN,370,He came by this morning.,1,5,
ANAKIN,PADME,371,What did he want?,1,4,
PADME,ANAKIN,372,He's worried about you. He says you're been under a lot of stress.,2,13,
ANAKIN,PADME,373,I feel lost.,1,3,
PADME,ANAKIN,374,Lost? What do you mean?,1,5,
ANAKIN,PADME,375,Obi-Wan and the Council don't trust me.,1,7,
PADME,ANAKIN,376,They trust you with their lives.,1,6,
ANAKIN,PADME,377,"Something's happening... I'm not the Jedi I should be. I want more, and I know I shouldn't.",1,17,
PADME,ANAKIN,378,You expect too much of yourself.,1,6,
ANAKIN,PADME,379,I have found a way to save you.,1,8,
PADME,ANAKIN,380,Save me?,1,2,
ANAKIN,PADME,381,From my nightmares.,1,3,
PADME,ANAKIN,382,Is that what's bothering you?,1,5,
ANAKIN,PADME,383,"I won't lose you, Padme.",1,5,
PADME,ANAKIN,384,"I'm not going to die in childbirth, Annie. I promise you.",1,11,
ANAKIN,PADME,385,"No, I promise you!",1,4,
TION MEDON,OBI-WAN,386,"Greetings, young Jedi. What brings you to our remote sanctuary?",1,10,
OBI-WAN,TION MEDON,387,"Unfortunately, the war.",1,3,
TION MEDON,OBI-WAN,388,There's no war here. Unless you've brought it with you.,1,10,
OBI-WAN,TION MEDON,389,"With your kind permission, I should like some fuel and to use your city as a base as I search nearby systems for General Grievous.",1,25,
TION MEDON,OBI-WAN,390,He is here. We are being held hostage. They are watching us.,1,12,
OBI-WAN,TION MEDON,391,I understand.,1,2,
TION MEDON,OBI-WAN,392,"Tenth level, thousands of battle droids.",1,6,
OBI-WAN,TION MEDON,393,"Tell your people to take shelter. If you have warriors, now is the time.",1,14,
OBI-WAN,NA,394,Take the Fighter back to the ship. I'm staying here. Tell Cody I've made contact.,1,15,
ALIEN 2,TION MEDON,395,Is he bringing additional warriors?,1,5,
TION MEDON,ALIEN 2,396,He didn't say..,1,3,
GENERAL GRIEVOUS,NUTE,397,It won't be long before the armies of the Republic track us here. I am sending you to the Mustafar system in the Outer Rim. It is a volcanic planet. You will be safe there.,1,35,
NUTE,GENERAL GRIEVOUS,398,"Safe? Chancellor Palpatine managed to escape your grip, General, without Count Dooku. I have doubts about your ability to keep us safe.",1,22,
GENERAL GRIEVOUS,NUTE,399,"Be thankful, Viceroy, you have not found yourself in my grip... Your ship is waiting.",1,15,
OBI-WAN,GENERAL GRIEVOUS,400,"Hello, there!",1,2,
GENERAL GRIEVOUS,OBI-WAN,401,"General Kenobi, you are a bold one.",1,7,
GENERAL GRIEVOUS,NA,402,Kill him! Back away. I will deal with this Jedi slime myself.,2,12,
OBI-WAN,GENERAL GRIEVOUS,403,Your move.,1,2,
GENERAL GRIEVOUS,OBI-WAN,404,"You fool. I have been trained in your Jedi arts by Count Dooku. Attack, Kenobi. Army or not, you must realize you are doomed.",2,24,
OBI-WAN,GENERAL GRIEVOUS,405,"Oh, I don't think so.",1,5,
CLONE COMMANDER CODY,MACE WINDU,406,"Master Windu, may I interrupt? General Kenobi has made contact with General Grievous, and we have begun our attack.",2,19,
MACE WINDU,CLONE COMMANDER CODY,407,"Thank, you Commander.",1,3,
MACE WINDU,ANAKIN,408,"Anakin, deliver this report to the chancellor. His reaction will give us a clue to his intentions.",1,17,
ANAKIN,MACE WINDU,409,"Yes, Master.",1,2,
MACE WINDU,"KI-ADI-MUNDI, YODA",410,I sense a plot to destroy the Jedi. The dark side of the Force surrounds the Chancellor.,1,17,
KI-ADI-MUNDI,"MACE WINDU, YODA",411,"If he does not give up his emergency powers after the destruction of Grievous, then he should be removed from office.",1,21,
MACE WINDU,"KI-ADI-MUNDI, YODA",412,The jedi council would have to take control of the senate in order to secure a peaceful transition.,1,18,
YODA,"MACE WINDU, KI-ADI-MUNDI",413,To a dark place this line of thought will carry us. Hmm... great care we must take.,1,17,
ANAKIN,PALPATINE,414,"Chancellor, we have just received a report from Master Kenobi. He has engaged General Grievous.",1,15,
PALPATINE,ANAKIN,415,We can only hope that Master Kenobi is up to the challenge.,1,12,
ANAKIN,PALPATINE,416,I should be there with him.,1,6,
PALPATINE,ANAKIN,417,It is upsetting to me to see that the Council doesn't seem to fully appreciate your talents. Don't you wonder why they won't make you a Jedi Master?,1,28,
ANAKIN,PALPATINE,418,I wish I knew. More and more I get the feeling that I am being excluded from the Council. I know there are things about the Force that they are not telling me.,1,33,
PALPATINE,ANAKIN,419,"They don't trust you, Anakin. They see your future. They know your power will be too strong to control. You must break through the fog of lies the Jedi have created around you. Let me help you to know the subtleties of the Force.",1,44,
ANAKIN,PALPATINE,420,How do you know the ways of the Force?,1,9,
PALPATINE,ANAKIN,421,My mentor taught me everything about the Force... even the nature of the dark side.,1,15,
ANAKIN,PALPATINE,422,You know the dark side?,1,5,
PALPATINE,ANAKIN,423,"Anakin, if one is to understand the great mystery, one must study all its aspects, not just the dogmatic, narrow view of the Jedi. If you wish to become a complete and wise leader, you must embrace a larger view of the Force. Be careful of the Jedi, Anakin. Only through me can you achieve a power greater than any Jedi. Learn to know the dark side of the Force and you will be able to save your wife from certain death.",2,82,
ANAKIN,PALPATINE,424,What did you say?,1,4,
PALPATINE,ANAKIN,425,"Use my knowledge, I beg you...",1,6,
ANAKIN,PALPATINE,426,You're the Sith Lord!,1,4,
PALPATINE,ANAKIN,427,"I know what has been troubling you... Listen to me. Don't continue to be a pawn of the Jedi Council! Ever since I've known you, you've been searching for a life greater than that of an ordinary Jedi... a life of significance, of conscience. Are you going to kill me?",2,50,
ANAKIN,PALPATINE,428,I would certainly like to.,1,5,
PALPATINE,ANAKIN,429,"I know you would. I can feel your anger. It gives you focus, makes you stronger.",1,16,
ANAKIN,PALPATINE,430,I am going to turn you over to the Jedi Council.,1,11,
PALPATINE,ANAKIN,431,"Of course you should. But you're not sure of their intentions, are you?",1,13,
ANAKIN,PALPATINE,432,I will quickly discover the truth of all this.,1,9,
PALPATINE,ANAKIN,433,"You have great wisdom, Anakin. Know the power of the dark side. The power to save Padme.",1,17,
OBI-WAN,OBI-WAN,434,So uncivilized...,1,2,
ANAKIN,MACE WINDU,435,"Master Windu, I must talk to you.",1,7,
MACE WINDU,ANAKIN,436,"Skywalker, we just received word that Obi-Wan has destroyed General Grievous. We're on our way to make sure the chancellor returns emergency power back to the senate.",3,27,
ANAKIN,MACE WINDU,437,He won't give up his power. I've just learned a terrible truth. I think Chancellor Palpatine is a Sith Lord.,1,20,
MACE WINDU,ANAKIN,438,A Sith Lord?,1,3,
ANAKIN,MACE WINDU,439,Yes. The one we have been looking for.,1,8,
MACE WINDU,ANAKIN,440,How do you know this?,1,5,
ANAKIN,MACE WINDU,441,He knows the ways of the Force. He has been trained to use the dark side.,1,16,
MACE WINDU,ANAKIN,442,Are you sure?,1,3,
ANAKIN,MACE WINDU,443,Absolutely.,1,1,
MACE WINDU,ANAKIN,444,Then our worst fears have been realized. We must move quickly if the Jedi Order is to survive.,1,18,
ANAKIN,MACE WINDU,445,"Master, the Chancellor is very powerful. You will need my help if you are going to arrest him.",1,18,
MACE WINDU,ANAKIN,446,"For your own good, stay out of this affair. I sense a great deal of confusion in you, young Skywalker. There is much fear that clouds your judgment.",1,28,
ANAKIN,MACE WINDU,447,"I must go, Master.",1,4,
MACE WINDU,ANAKIN,448,"No. If what you've told me is true, you will have gained my trust. But for now, remain here. Wait in the council's chambers until we've returned.",1,27,
ANAKIN,MACE WINDU,449,"Yes, Master.",1,2,
PALPATINE,HEAD,450,"You do know, don't you, if the Jedi destroy me, any chance of saving her will be lost.",1,18,
PALPATINE,MACE WINDU,451,"Master Windu. I take it General Grievous has been destroyed then. I must say, you're here sooner than expected.",1,19,
MACE WINDU,PALPATINE,452,"In the name of the Galactic Senate of the Republic, you are under arrest, Chancellor.",1,15,
PALPATINE,MACE WINDU,453,"Are you threatening me, Master Jedi?",1,6,
MACE WINDU,PALPATINE,454,The Senate will decide your fate.,1,6,
PALPATINE,MACE WINDU,455,I am the Senate!,1,4,
MACE WINDU,PALPATINE,456,Not yet!,1,2,
PALPATINE,MACE WINDU,457,"It's treason, then.",1,3,
MACE WINDU,PALPATINE,458,"You are under arrest, My Lord.",1,6,
PALPATINE,ANAKIN,459,Anakin! I told you it would come to this. I was right. The Jedi are taking over.,1,17,
MACE WINDU,PALPATINE,460,The oppression of the Sith will never return. You have lost.,1,11,
PALPATINE,MACE WINDU,461,No! No! No! You will die!,1,6,
PALPATINE,ANAKIN,462,He's a traitor.,1,3,
MACE WINDU,ANAKIN,463,He is a traitor!,1,4,
PALPATINE,ANAKIN,464,I have the power to save the one you love. You must choose.,1,13,
MACE WINDU,ANAKIN,465,"Don't listen to him, Anakin!",1,5,
PALPATINE,ANAKIN,466,Don't let him kill me. I can't hold it any longer. I can't. I'm weak. I'm too weak. Anakin! Help me. Help me! I can't hold on any longer.,4,29,
MACE WINDU,"PALPATINE, ANAKIN",467,I am going to end this once and for all.,1,10,
ANAKIN,MACE WINDU,468,You can't. He must stand trial.,1,6,
MACE WINDU,ANAKIN,469,He has control of the senate and the courts. He's too dangerous to be left alive.,1,16,
PALPATINE,MACE WINDU,470,But I'm too weak. Don't kill me. Please.,1,8,
ANAKIN,MACE WINDU,471,It is not the Jedi way... He must live...,2,9,
PALPATINE,MACE WINDU,472,"Please don't, please don't...",1,4,
ANAKIN,MACE WINDU,473,I need him...,1,3,
PALPATINE,MACE WINDU,474,Please don't...,1,2,
ANAKIN,MACE WINDU,475,NO!,1,1,
PALPATINE,PALPATINE,476,Power! Unlimited power!,1,3,
ANAKIN,ANAKIN,477,What have I done?,1,4,
PALPATINE,ANAKIN,478,"You are fulfilling your destiny, Anakin. Become my apprentice. Learn to use the dark side of the Force.",1,18,
ANAKIN,PALPATINE,479,I will do whatever you ask.,1,6,
PALPATINE,ANAKIN,480,Good.,1,1,
ANAKIN,PALPATINE,481,Just help me save Padme's life. I can't live without her.,1,11,
PALPATINE,ANAKIN,482,"To cheat death is a power only one has achieved, but if we work together, I know we can discover the secret.",1,22,
ANAKIN,PALPATINE,483,I pledge myself to your teachings.,1,6,
PALPATINE,ANAKIN,484,"Good. Good. The Force is strong with you. A powerful Sith you will become. Henceforth, you shall be known as Darth... Vader.",1,22,
VADER,PALPATINE,485,Thank you. my Master.,1,4,
PALPATINE,VADER,486,"Rise. Because the Council did not trust you, my young apprentice, I believe you are the only Jedi with no knowledge of this plot. When the Jedi learn what has transpired here, they will kill us, along with all the Senators.",2,41,
VADER,PALPATINE,487,I agree. The council's next move will be against the Senate.,1,11,
PALPATINE,VADER,488,"Every single Jedi, including your friend Obi-Wan Kenobi, is now an enemy of the Republic.",1,15,
VADER,PALPATINE,489,"I understand, Master.",1,3,
PALPATINE,VADER,490,"We must move quickly. The Jedi are relentless; if they are not all destroyed, it will be civil war without end. First, I want you to go to the Jedi Temple. We will catch them off balance. Do what must be done, Lord Vader. Do not hesitate. Show no mercy. Only then will you be strong enough with the dark side to save Padme.",1,64,
VADER,PALPATINE,491,What about the other Jedi spread across the galaxy?,1,9,
PALPATINE,VADER,492,"Their betrayal will be dealt with. After you have killed all the Jedi in the Temple, go to the Mustafar system. Wipe out Viceroy Gunray and the other Separatist leaders. Once more, the Sith will rule the galaxy, and we shall have peace.",1,43,
OBI-WAN,CLONE COMMANDER CODY,493,"Commander, contact your troops. Tell them to move to the higher levels.",1,12,
CLONE COMMANDER CODY,OBI-WAN,494,"Very good, sir. Oh, by the way, I think you'll be needing this.",2,13,
OBI-WAN,CLONE COMMANDER CODY,495,"Thank you, Cody, Now let's get a move on. We've got a battle to win here.",2,16,
CLONE COMMANDER CODY,OBI-WAN,496,"Yes, sir!",1,2,
PALPATINE,CLONE COMMANDER CODY,497,"Commander Cody, the time has come. Execute Order 66.",1,9,
CLONE COMMANDER CODY,PALPATINE,498,"Yes, My Lord. Blast him!",2,5,
KI-ADI-MUNDI,NA,499,Come on!,1,2,
PALPATINE,"CLONE PILOT, CLONE COMMANDER GREE",500,Execute Order 66.,1,3,
CLONE PILOT,PALPATINE,501,"It will be done, My Lord.",1,6,
CLONE COMMANDER GREE,PALPATINE,502,"It will be done, My Lord.",1,6,
YOUNGLING,VADER,503,"Master Skywalker, there are too many of them. What are we going to do?",1,14,
THREEPIO,PADME,504,"The Chancellor's office indicated Master Anakin returned to the Jedi Temple. Don't worry, I'm sure he'll be all right.",1,19,
BAIL ORGANA,CLONE SERGEANT,505,What's going on here?,1,4,
CLONE SERGEANT,BAIL ORGANA,506,"There's been a rebellion, sir. Don't worry, the situation is under control. I'm sorry, sir. It's time for you to leave.",2,21,
BAIL ORGANA,CLONE SERGEANT,507,And so it is.,1,4,
CLONE COMMANDER APPO,NA,508,Get him! Shoot him!,1,4,
BAIL ORGANA,NA,509,No!,1,1,
AT-ST CLONE SERGEANT,NA,510,Don't worry about him. Let him go.,1,7,
CLONE SERGEANT,NA,511,All these Wookiees are dead. Move to the east.,1,9,
CLONE TROOPER,NA,512,"Yes, sir.",1,2,
YODA,"CHEWIE, TARFFUL",513,"Good-bye, Tarfull. Good-bye, Chewbacca. and Tarfful, miss you I will.",1,10,
CHEWIE,YODA,514,GROWLS TWICE,1,2,
YODA,"CHEWIE, TARFFUL",515,"Miss you, I will.",1,4,
CHEWIE,"YODA, TARFULL",516,ROARS EIGHT TIMES IN TOTAL,1,8,
BAIL ORGANA,NA,517,Hopefully we will be able to intercept a few Jedi before they walk into this catastrophe.,1,16,
CLONE CAPTAIN,CLONE TROOPER,518,Did you find Kenobi?,1,4,
CLONE TROOPER,CLONE CAPTAIN,519,"Sir, no one could have survived that fall.",1,8,
CLONE CAPTAIN,CLONE TROOPER,520,Start loading your men on the ships. Move it.,1,9,
OBI-WAN,BAIL ORGANA,521,Emergency Code 913 ... I have no contact on any frequency.,1,11,
BAIL ORGANA,OBI-WAN,522,...Master Kenobi...,1,2,
OBI-WAN,BAIL ORGANA,523,Repeat.,1,1,
BAIL ORGANA,OBI-WAN,524,Master Kenobi??,1,2,
OBI-WAN,BAIL ORGANA,525,Senator Organa! My Clone Troops turned on me... I need help.,1,11,
BAIL ORGANA,OBI-WAN,526,We have just rescued Master Yoda. It appears this ambush has happened everywhere. We're sending you our coordinates.,1,18,
THREEPIO,R2D2,527,Hush! Not so loud!,1,4,
PADME,VADER,528,Are you all right? I heard there was an attack on the Jedi Temple... you can see the smoke from here.,1,21,
VADER,PADME,529,I'm fine. I'm fine. I came to see if you and the baby are safe.,1,15,
PADME,VADER,530,What's happening?,1,2,
VADER,PADME,531,The Jedi have tried to overthrow the Republic...,1,8,
PADME,VADER,532,I can't believe that!,1,4,
VADER,PADME,533,I saw Master Windu attempt to assassinate the Chancellor myself.,1,10,
PADME,VADER,534,"Oh Anakin, what are you going to do?",1,8,
VADER,PADME,535,I will not betray the Republic... my loyalties lie with the Chancellor and with the Senate... and with you.,1,19,
PADME,VADER,536,What about Obi-Wan?,1,3,
VADER,PADME,537,I don't know... Many Jedi have been killed. We can only hope that he's remained loyal to the Chancellor.,1,19,
PADME,VADER,538,"Anakin, I'm afraid.",1,3,
VADER,PADME,539,"Have faith, my love. Everything will soon be set right. The Chancellor has given me a very important mission. The Separatists have gathered on the Mustafar system. I'm going there to end this war. Wait for me until I return. Things will be different, I promise. Please, wait for me.",2,50,
THREEPIO,R2D2,540,"Well, he is under a lot of stress, Artoo.",1,9,
THREEPIO,R2D2,541,"Take care, my little friend.",1,5,
THREEPIO,PADME,542,"My Lady, is there anything I might do?",1,8,
PADME,THREEPIO,543,"No thank you, Threepio.",1,4,
THREEPIO,PADME,544,I feel so helpless.,1,4,
OBI-WAN,"YODA, BAIL ORGANA",545,How many other Jedi managed to survive?,1,7,
YODA,OBI-WAN,546,"Heard from no one, have we.",1,6,
BAIL ORGANA,OBI-WAN,547,I saw thousands of troops attack the Jedi Temple. That's why I went looking for Yoda.,1,16,
OBI-WAN,YODA,548,Have we had any contact from the Temple?,1,8,
YODA,OBI-WAN,549,"Received a coded retreat message, we have.",1,7,
BAIL ORGANA,OBI-WAN,550,It requests all Jedi to return to the Temple. It says that the war is over...,1,16,
OBI-WAN,YODA,551,"Well, then we must go back! If there are other stragglers, they will fall into the trap and be killed.",1,20,
YODA,OBI-WAN,552,"Suggest dismantling the coded signal, do you?",1,7,
OBI-WAN,YODA,553,"Yes, Master. There is too much at stake",1,8,
YODA,OBI-WAN,554,I agree. And a little more knowledge might light our way.,1,11,
NUTE,PALPATINE,555,"The plan has gone as you had promised, My Lord.",1,10,
PALPATINE,NUTE,556,"You have done well, Viceroy. When my new apprentice, Darth Vader, arrives, he will take care of you.",1,18,
PILOT,BAIL ORGANA,557,"We are receiving a message from the Chancellor's office, sir.",1,10,
BAIL ORGANA,PILOT,558,Send it through.,1,3,
PILOT,BAIL ORGANA,559,"Yes, sir.",1,2,
MAS AMEDDA,BAIL ORGANA,560,Senator Organa... the Supreme Chancellor of the Republic requests your presence at a special session of Congress.,1,17,
BAIL ORGANA,MAS AMEDDA,561,I will be there.,1,4,
MAS AMEDDA,BAIL ORGANA,562,He'll be expecting you.,1,4,
BAIL ORGANA,"OBI-WAN, YODA",563,Could be a trap.,1,4,
OBI-WAN,BAIL ORGANA,564,"No, I don't think so. The Chancellor will not be able to control the thousands of star systems without keeping the Senate intact.",1,23,
YODA,"BAIL ORGANA, OBI-WAN",565,"If a special session of Congress there is, easier for us to enter the Jedi Temple it will be.",1,19,
VADER,R2D2,566,Artoo... stay with the ship.,1,5,
NUTE,VADER,567,"Welcome, Lord Vader. We've been expecting you.",1,7,
PALPATINE,GROUP,568,...and the Jedi Rebellion has been foiled.,1,7,
BAIL ORGANA,PADME,569,What's happened?,1,2,
PADME,BAIL ORGANA,570,"The Chancellor's been elaborating on a plot by the Jedi, to overthrow the Senate.",1,14,
PALPATINE,GROUP,571,The remaining Jedi will be hunted down and defeated.,1,9,
OBI-WAN,YODA,572,Not even the younglings survived.,1,5,
YODA,OBI-WAN,573,"Killed not by clones, this Padawan. By a lightsaber, he was.",1,11,
OBI-WAN,YODA,574,Who? Who could have done this?,1,6,
PALPATINE,GROUP,575,"The attempt on my life has left me scarred and deformed, but I assure you my resolve has never been stronger.",1,21,
NUTE,VADER,576,Stop! No!,1,2,
PALPATINE,GROUP,577,"In order to ensure our security and continuing stability, the Republic will be reorganized into the first Galactic Empire, for a safe and secure society",1,25,
PADME,BAIL ORGANA,578,"So this is how liberty dies, with thunderous applause...",1,9,
NUTE,VADER,579,The war is over. Lord Sidious promised us peace... we only want...,1,12,
OBI-WAN,YODA,580,I've recalibrated the code warning all surviving Jedi to stay away.,1,11,
YODA,OBI-WAN,581,"For the Clones to discover the recalibration, a long time it will take.",1,13,
OBI-WAN,YODA,582,"Wait, Master. There is something I must know...",1,8,
YODA,OBI-WAN,583,"If into the security recordings you go, only pain will you find.",1,12,
OBI-WAN,YODA,584,"I must know the truth, Master. It can't be... It can't be...",2,12,
PALPATINE,VADER,585,"You have done well, my new apprentice. Now, Lord Vader, go and bring peace to the Empire.",1,17,
OBI-WAN,YODA,586,I can't watch anymore,1,4,
YODA,OBI-WAN,587,"Destroy the Sith, we must.",1,5,
OBI-WAN,YODA,588,Send me to kill the Emperor. I will not kill Anakin.,1,11,
YODA,OBI-WAN,589,"To fight this Lord Sidious, strong enough, you are not.",1,10,
OBI-WAN,YODA,590,He is like my brother... I cannot do it.,1,9,
YODA,OBI-WAN,591,"Twisted by the dark side, young Skywalker has become. The boy you trained, gone he is... Consumed by Darth Vader.",1,20,
OBI-WAN,YODA,592,I do not know where the Emperor has sent him. I don't know where to look.,1,16,
YODA,OBI-WAN,593,"Use your feelings, Obi-Wan, and find him, you will.",1,9,
OBI-WAN,PADME,594,When was the last time you saw him?,1,8,
PADME,OBI-WAN,595,Yesterday.,1,1,
OBI-WAN,PADME,596,And do you know where he is now?,1,8,
PADME,OBI-WAN,597,No.,1,1,
OBI-WAN,PADME,598,"Padme, I need your help. He's in grave danger.",1,9,
PADME,OBI-WAN,599,From the Sith?,1,3,
OBI-WAN,PADME,600,"From himself... Padme, Anakin has turned to the dark side.",1,10,
PADME,OBI-WAN,601,You're wrong! How could you even say that?,1,8,
OBI-WAN,PADME,602,I have seen a security hologram of him killing younglings.,1,10,
PADME,OBI-WAN,603,Not Anakin! He couldn't!,1,4,
OBI-WAN,PADME,604,"He was deceived by a lie. We all were. It appears that the Chancellor is behind everything, including the war. Palpatine is the Sith Lord we've been looking for. After the death of Count Dooku, Anakin became his new apprentice.",1,40,
PADME,OBI-WAN,605,I don't believe you... I can't.,1,6,
OBI-WAN,PADME,606,"Padme, I must find him.",1,5,
PADME,OBI-WAN,607,"You're going to kill him, aren't you?",1,7,
OBI-WAN,PADME,608,He has become a very great threat.,1,7,
PADME,OBI-WAN,609,I can't...,1,2,
OBI-WAN,PADME,610,"Anakin is the father, isn't he? I'm so sorry.",2,9,
CAPTAIN TYPHO,PADME,611,"My Lady, let me come with you.",1,7,
PADME,CAPTAIN TYPHO,612,"There is no danger. The fighting is over, and... this is personal.",1,12,
CAPTAIN TYPHO,PADME,613,"As you wish, My Lady... but I strongly disagree.",1,9,
PADME,CAPTAIN TYPHO,614,"I'll be all right, Captain.",1,5,
PADME,PADME,615,"This is something I must do myself. Besides, Threepio will look after me.",1,13,
THREEPIO,THREEPIO,616,"Oh, dear.",1,2,
THREEPIO,PADME,617,"Do you know, that I think I'm beginning to get the hang of this flying business.",1,16,
VADER,PALPATINE,618,"The Separatists have been taken care of, My Master.",1,9,
PALPATINE,VADER,619,It is finished then. You have restored peace and justice to the galaxy. Send a message to the ships of the Trade Federation. All droid units must shut down immediately.,1,30,
VADER,PALPATINE,620,"Very good, My Lord.",1,4,
VADER,PADME,621,I saw your ship... What are you doing out here?,2,10,
PADME,VADER,622,I was so worried about you. Obi-Wan told me terrible things.,1,11,
VADER,PADME,623,What things?,1,2,
PADME,VADER,624,He said you have turned to the dark side... that you killed younglings.,1,13,
VADER,PADME,625,Obi-Wan is trying to turn you against me.,1,8,
PADME,VADER,626,He cares about us.,1,4,
VADER,PADME,627,Us?,1,1,
PADME,VADER,628,"He knows... He wants to help you. Anakin, all I want is your love.",2,14,
VADER,PADME,629,"Love won't save you, Padme. Only my new powers can do that.",1,12,
PADME,VADER,630,At what cost? You are a good person. Don't do this.,1,11,
VADER,PADME,631,I won't lose you the way I lost my mother! I am becoming more powerful than any Jedi has ever dreamed of and I'm doing it for you. To protect you.,1,31,
PADME,VADER,632,Come away with me. Help me raise our child. Leave everything else behind while we still can.,1,17,
VADER,PADME,633,"Don't you see, we don't have to run away anymore. I have brought peace to the Republic. I am more powerful than the Chancellor. I can overthrow him, and together you and I can rule the galaxy. Make things the way we want them to be.",1,46,
PADME,VADER,634,I don't believe what I'm hearing... Obi-Wan was right. You've changed.,1,11,
VADER,PADME,635,I don't want to hear any more about Obi-Wan. The Jedi turned against me. Don't you turn against me.,1,19,
PADME,VADER,636,"I don't know you anymore. Anakin, you're breaking my heart. You're going down a path I can't follow.",1,18,
VADER,PADME,637,Because of Obi-Wan?,1,3,
PADME,VADER,638,"Because of what you've done... what you plan to do. Stop, stop now. Come back! I love you.",1,18,
VADER,PADME,639,Liar!,1,1,
PADME,VADER,640,No!,1,1,
VADER,PADME,641,You're with him. You brought him here to kill me!,1,10,
OBI-WAN,VADER,642,"Let her go, Anakin!",1,4,
PADME,VADER,643,No! Anakin.,1,2,
OBI-WAN,VADER,644,Let her go.,1,3,
VADER,OBI-WAN,645,You turned her against me.,1,5,
OBI-WAN,VADER,646,You have done that yourself.,1,5,
VADER,OBI-WAN,647,You will not take her from me.,1,7,
OBI-WAN,VADER,648,Your anger and your lust for power have already done that. You have allowed this Dark Lord to twist your mind until now... until now you have become the very thing you swore to destroy.,2,35,
VADER,OBI-WAN,649,"Don't lecture me, Obi-Wan. I see through the lies of the Jedi. I do not fear the dark side as you do. I have brought peace, freedom, justice, and security to my new Empire.",1,34,
OBI-WAN,VADER,650,Your new Empire?,1,3,
VADER,OBI-WAN,651,Don't make me kill you.,1,5,
OBI-WAN,VADER,652,"Anakin, my allegiance is to the Republic... to democracy.",1,9,
VADER,OBI-WAN,653,"If you're not with me, then you're my enemy.",1,9,
OBI-WAN,VADER,654,Only a Sith deals in absolutes. I will do what I must.,1,12,
VADER,OBI-WAN,655,You will try.,1,3,
