from,to,dialogue,yarn_id
YODA,"YOUNGLINGS, OBI-WAN",Gather round the map reader.,874317
YODA,"YOUNGLINGS, OBI-WAN",Clear your minds.,874319
YODA,"YOUNGLINGS, OBI-WAN",and find Obi-Wan's wayward planet we will.,874320
OBI-WAN,YODA,It ought to be.,874321
OBI-WAN,YODA,here.,874330
OBI-WAN,YODA,but it isn't.,874330
OBI-WAN,YODA,Gravity is pulling all the stars in the area towards this spot.,874332
YODA,"YOUNGLINGS, OBI-WAN",Hmm.,874333
YODA,"YOUNGLINGS, OBI-WAN",Gravity's silhouette remains.,874333
YODA,"YOUNGLINGS, OBI-WAN",but the star and all the planets.,874337
YODA,"YOUNGLINGS, OBI-WAN",disappeared they have.,874337
YODA,"YOUNGLINGS, OBI-WAN",How can this be?,874345
YODA,"YOUNGLINGS, OBI-WAN",Hmm?,874345
YODA,"YOUNGLINGS, OBI-WAN",A thought?,874345
YODA,"YOUNGLINGS, OBI-WAN",Anyone.,874345
BOY,YODA,Master?,874348
BOY,YODA,Because someone erased it from the archive memory.,874348
YODA,OBI-WAN,Truly wonderful the mind of a child is.,874348
YODA,OBI-WAN,The Padawan is right.,874348
YODA,OBI-WAN,Go to the center of gravity's pull.,874348
YODA,OBI-WAN,and find your planet you will.,874350
YODA,OBI-WAN,The data must have been erased.,874352
OBI-WAN,YODA,"But, Master Yoda, who could empty information from the archives?",874353
OBI-WAN,YODA,"That's impossible, isn't it?",874358
YODA,OBI-WAN,Dangerous and disturbing this puzzle is.,874360
YODA,OBI-WAN,Only a Jedi could have erased those files.,874362
YODA,OBI-WAN,"But who and why, harder to answer.",874364
YODA,OBI-WAN,Meditate on this I will.,874372
PADME,ANAKIN,I wasn't the youngest queen ever elected.,874377
PADME,ANAKIN,"but now that I think back on it, I'm not sure I was old enough.",874381
PADME,ANAKIN,I'm not sure I was ready.,874382
ANAKIN,PADME,The people you served thought you did a good job.,874383
ANAKIN,PADME,I heard they even tried to amend the constitution so you could stay in office.,874384
PADME,ANAKIN,I was relieved when my two terms were up.,874386
PADME,ANAKIN,But when the queen asked me to serve as senator.,874388
PADME,ANAKIN,I couldn't refuse her.,874398
ANAKIN,PADME,I agree with her.,874398
ANAKIN,PADME,I think the Republic needs you.,874400
ANAKIN,PADME,I'm glad that you chose to serve.,874406
PADME,"SIO BIBBLE, QUEEN JAMILLIA",If the senate votes to create an army.,874406
PADME,"SIO BIBBLE, QUEEN JAMILLIA",I'm sure it's going to push us into a civil war.,874406
SIO BIBBLE,PADME,It's unthinkable.,874406
SIO BIBBLE,PADME,There hasn't been a full-scale war since the formation of the Republic.,874409
QUEEN JAMILLIA,PADME,Do you see any way through negotiations.,874416
QUEEN JAMILLIA,PADME,to bring the separatists back into the Republic?,874426
PADME,QUEEN JAMILLIA,Not if they feel threatened.,874435
PADME,QUEEN JAMILLIA,My guess is they'll turn to the Trade Federations or the Commerce Guilds for help.,874437
SIO BIBBLE,"PADME, QUEEN JAMILLIA","It's outrageous, but after four trials in the Supreme Court.",874442
SIO BIBBLE,"PADME, QUEEN JAMILLIA",Nute Gunray is still the viceroy of the Trade Federation.,874449
SIO BIBBLE,"PADME, QUEEN JAMILLIA",I fear the senate is powerless to resolve this crisis.,874449
QUEEN JAMILLIA,"PADME, SIO BIBBLE",We must keep our faith in the Republic.,874455
QUEEN JAMILLIA,PADME,The day we stop believing democracy can work is the day we lose it.,874455
PADME,QUEEN JAMILLIA,Let's pray that day never comes.,874459
QUEEN JAMILLIA,PADME,"In the meantime, we must consider your own safety.",874459
SIO BIBBLE,ANAKIN,"What is your suggestion,",874459
SIO BIBBILE,ANAKIN,Master Jedi?,874460
PADME,SIO BIBBILE,"Oh, Anakin's not a Jedi yet.",874460
PADME,SIO BIBBILE,He's still a Padawan learner.,874461
PADME,QUEEN JAMILLIA,But I was thinking--,874463
ANAKIN,PADME,Hold on a minute.,874464
PADME,ANAKIN,Excuse me.,874464
PADME,QUEEN JAMILLIA,I was thinking I would stay in the lake country.,874466
PADME,QUEEN JAMILLIA,There are some places up there that are very isolated.,874466
ANAKIN,PADME,Excuse me.,874467
ANAKIN,PADME,"I'm in charge of security here, milady.",874467
PADME,ANAKIN,And this is my home.,874471
PADME,ANAKIN,I know it very well.,874474
PADME,ANAKIN,That is why we're here.,874480
PADME,ANAKIN,I think it would be wise if you took advantage of my knowledge in this instance.,874482
ANAKIN,PADME,"Sorry, milady.",874483
QUEEN JAMILLIA,PADME,Perfect.,874483
QUEEN JAMILLIA,PADME,"It's settled, then.",874483
OBI-WAN,R4,"There it is, R4, right where it should be.",874483
OBI-WAN,R4,Our missing planet Kamino.,874483
TAUN WE,OBI-WAN,Master Jedi.,874487
TAUN WE,OBI-WAN,The prime minister is expecting you.,874490
OBI-WAN,TAUN WE,I'm expected?,874491
TAUN WE,OBI-WAN,Of course.,874491
TAUN WE,OBI-WAN,He is anxious to meet you.,874491
TAUN WE,OBI-WAN,After all these years.,874491
TAUN WE,OBI-WAN,we were beginning to think you weren't coming.,874492
TAUN WE,OBI-WAN,"Now, please, this way.",874493
TAUN WE,"LAMA SU, OBI-WAN",May I present Lama Su.,874493
TAUN WE,"LAMA SU, OBI-WAN",prime minister of Kamino.,874493
TAUN WE,"LAMA SU, OBI-WAN",And this is Master Jedi--.,874494
OBI-WAN,"LAMA SU, TAUN WE",Obi-Wan Kenobi.,874503
LAMA SU,OBI-WAN,I trust you're going to enjoy your stay.,874503
LAMA SU,OBI-WAN,Please.,874503
LAMA SU,OBI-WAN,And now to business.,874503
LAMA SU,OBI-WAN,You will be delighted to hear that we are on schedule.,874503
LAMA SU,OBI-WAN,"200,000 units are ready.",874503
LAMA SU,OBI-WAN,with a million more well on the way.,874503
OBI-WAN,"LAMA SU, TAUN WE",That's good news.,874503
LAMA SU,OBI-WAN,Please tell your Master Sifo-Dyas.,874503
LAMA SU,OBI-WAN,that his order will be met on time.,874503
OBI-WAN,LAMA SU,I'm sorry.,874503
OBI-WAN,LAMA SU,Master--.,874503
LAMA SU,OBI-WAN,Jedi Master Sifo-Dyas is still a leading member of the Jedi Council.,874503
LAMA SU,OBI-WAN,is he not?,874506
OBI-WAN,LAMA SU,Master Sifo-Dyas was killed almost ten years ago.,874506
LAMA SU,OBI-WAN,"Oh, I'm so sorry to hear that.",874508
LAMA SU,OBI-WAN,But I'm sure he would have been proud of the army we've built for him.,874510
OBI-WAN,LAMA SU,The army?,874511
LAMA SU,OBI-WAN,Yes.,874526
LAMA SU,OBI-WAN,"A clone army, and I must say, one of the finest we've ever created.",874527
OBI-WAN,LAMA SU,"Tell me, Prime Minister.",874527
OBI-WAN,LAMA SU,when my master first contacted you about the army.,874530
OBI-WAN,LAMA SU,did he say who it was for?,874533
LAMA SU,OBI-WAN,Of course he did.,874533
LAMA SU,OBI-WAN,This army is for the Republic.,874533
LAMA SU,OBI-WAN,But you must be anxious to inspect the units for yourself.,874534
OBI-WAN,LAMA SU,That's why I'm here.,874542
PADME,ANAKIN,We used to come here for school retreat.,874542
PADME,ANAKIN,We would swim to that island every day.,874542
PADME,ANAKIN,I love the water.,874542
PADME,ANAKIN,We used to lie out on the sand and let the sun dry us.,874548
PADME,ANAKIN,and try to guess the names of the birds singing.,874548
ANAKIN,PADME,I don't like sand.,874549
ANAKIN,PADME,It's coarse and rough and irritating.,874550
ANAKIN,PADME,and it gets everywhere.,874553
ANAKIN,PADME,Not like here.,874553
ANAKIN,PADME,"Here, everything is soft.",874578
ANAKIN,PADME,and smooth.,874589
PADME,ANAKIN,No.,874592
PADME,ANAKIN,I shouldn't have done that.,874598
ANAKIN,PADME,I'm sorry.,874614
OBI-WAN,LAMA SU,Very impressive.,874614
LAMA SU,OBI-WAN,I'd hoped you would be pleased.,874620
LAMA SU,OBI-WAN,Clones can think creatively.,874623
LAMA SU,OBI-WAN,You will find that they are immensely superior to droids.,874637
LAMA SU,OBI-WAN,We take great pride in our combat education and training programs.,874639
LAMA SU,OBI-WAN,This group was created about five years ago.,874641
OBI-WAN,LAMA SU,You mentioned growth acceleration.,874642
LAMA SU,OBI-WAN,"Oh,yes, it's essential.",874643
LAMA SU,OBI-WAN,"Otherwise, a mature clone would take a lifetime to grow.",874644
LAMA SU,OBI-WAN,Now we can do it in half the time.,874644
OBI-WAN,LAMA SU,I see.,874645
LAMA SU,OBI-WAN,They are totally obedient.,874647
LAMA SU,OBI-WAN,taking any order without question.,874647
LAMA SU,OBI-WAN,We modified their genetic structure.,874649
LAMA SU,OBI-WAN,to make them less independent than the original host.,874649
OBI-WAN,LAMA SU,And who was the original host?,874650
LAMA SU,OBI-WAN,A bounty hunter called Jango Fett.,874655
OBI-WAN,LAMA SU,And where is this bounty hunter now?,874655
LAMA SU,OBI-WAN,"Oh, we keep him here.",874657
LAMA SU,OBI-WAN,"Apart from his pay, which is considerable.",874658
LAMA SU,OBI-WAN,Fett demanded only one thing: an unaltered clone for himself.,874659
LAMA SU,OBI-WAN,"Curious, isn't it?",874660
OBI-WAN,LAMA SU,Unaltered?,874669
LAMA SU,OBI-WAN,Pure genetic replication.,874670
LAMA SU,OBI-WAN,No tampering with the structure to make it more docile.,874670
LAMA SU,OBI-WAN,and no growth acceleration.,874670
OBI-WAN,LAMA SU,I should very much like to meet this Jango Fett.,874670
TAUN WE,OBI-WAN,I would be very happy to arrange it.,874670
LAMA SU,OBI-WAN,"Magnificent, aren't they?",874670
PADME,ANAKIN,I don't know.,874675
ANAKIN,PADME,Sure you do.,874675
ANAKIN,PADME,You just don't want to tell me.,874677
PADME,ANAKIN,You gonna use one of your Jedi mind tricks on me?,874677
ANAKIN,PADME,They only work on the weak-minded.,874677
PADME,ANAKIN,All right.,874677
PADME,ANAKIN,I was twelve.,874685
PADME,ANAKIN,His name was Palo.,874689
PADME,ANAKIN,We were both in the Legislative Youth Program.,874694
PADME,ANAKIN,He was a few years older than I.,874695
PADME,ANAKIN,Very cute.,874695
PADME,ANAKIN,"Dark, curly hair.",874695
PADME,ANAKIN,Dreamy eyes.,874697
ANAKIN,PADME,"All right, I get the picture.",874697
ANAKIN,PADME,Whatever happened to him?,874698
PADME,ANAKIN,I went into public service; he went on to become an artist.,874700
ANAKIN,PADME,Maybe he was the smart one.,874702
PADME,ANAKIN,"You really don't like politicians, do you?",874702
ANAKIN,PADME,I like two or three.,874702
ANAKIN,PADME,but I'm not really sure about one of them.,874704
ANAKIN,PADME,I don't think the system works.,874706
PADME,ANAKIN,How would you have it work?,874711
ANAKIN,PADME,We need a system where the politicians sit down and discuss the problem.,874715
ANAKIN,PADME,"agree what's in the best interest of all the people, and then do it.",874716
PADME,ANAKIN,That's exactly what we do.,874719
PADME,ANAKIN,The trouble is that people don't always agree.,874725
ANAKIN,PADME,"Well, then they should be made to.",874728
PADME,ANAKIN,By whom?,874728
PADME,ANAKIN,Who's gonna make them?,874728
ANAKIN,PADME,I don't know.,874728
ANAKIN,PADME,Someone.,874729
PADME,ANAKIN,You?,874730
ANAKIN,PADME,Of course not me.,874733
PADME,ANAKIN,But someone.,874738
ANAKIN,PADME,Someone wise.,874739
PADME,ANAKIN,Sounds an awful lot like a dictatorship to me.,874739
ANAKIN,PADME,"Well, if it works.",874739
PADME,ANAKIN,You're making fun of me.,874739
ANAKIN,PADME,No.,874740
ANAKIN,PADME,I'd be much too frightened to tease a senator.,874740
ANAKIN,NA,"Whoa, whoa.",874740
ANAKIN,NA,"Oh, whoa!",874740
PADME,ANAKIN,Ani!,874741
PADME,ANAKIN,"Ani, are you all right?",874744
TAUN WE,BOBA FETT,"Boba, is your father here?",874751
BOBA FETT,TAUN WE,Yep.,874764
TAUN WE,BOBA FETT,May we see him?,874764
BOBA FETT,TAUN WE,Sure.,874764
BOBA FETT,JANGO FETT,"Dad, Taun We's here.",874764
TAUN WE,JANGO FETT,"Jango, welcome back.",874766
TAUN WE,JANGO FETT,Was your trip productive?,874769
JANGO FETT,TAUN WE,Fairly.,874771
TAUN WE,JANGO FETT,This is Jedi Master Obi-Wan Kenobi.,874771
TAUN WE,JANGO FETT,He's come to check on our progress.,874772
OBI-WAN,JANGO FETT,Your clones are very impressive.,874772
OBI-WAN,JANGO FETT,You must be very proud.,874772
JANGO FETT,OBI-WAN,I'm just a simple man trying to make my way in the universe.,874772
OBI-WAN,JANGO FETT,Ever made your way as far into the interior as Coruscant?,874772
JANGO FETT,OBI-WAN,Once or twice.,874774
OBI-WAN,JANGO FETT,Recently?,874774
JANGO FETT,OBI-WAN,Possibly.,874776
OBI-WAN,JANGO FETT,Then you must know Master Sifo-Dyas.,874778
JANGO FETT,BOBA FETT,"Boba, rood eht so-heeck.",874780
JANGO FETT,OBI-WAN,Master who?,874787
OBI-WAN,JANGO FETT,Sifo-Dyas.,874787
OBI-WAN,JANGO FETT,Is he not the Jedi who hired you for this job?,874790
JANGO FETT,OBI-WAN,Never heard of him.,874798
OBI-WAN,JANGO FETT,Really?,874803
JANGO FETT,OBI-WAN,I was recruited by a man called Tyranus on one of the moons of Bogden.,874803
OBI-WAN,JANGO FETT,Curious.,874805
JANGO FETT,OBI-WAN,Do you like your army?,874806
OBI-WAN,JANGO FETT,I look forward to seeing them in action.,874806
JANGO FETT,OBI-WAN,They'll do their job well.,874807
JANGO FETT,OBI-WAN,I'll guarantee that.,874811
OBI-WAN,JANGO FETT,"Thank you for your time, Jango.",874823
JANGO FETT,OBI-WAN,Always a pleasure to meet a Jedi.,874824
BOBA FETT,JANGO FETT,"What is it, Dad?",874824
JANGO FETT,BOBA FETT,Pack your things.,874826
JANGO FETT,BOBA FETT,We're leaving.,874833
ANAKIN,PADME,"And when I got to them, we went into aggressive negotiations.",874841
ANAKIN,NA,Thank you.,874843
PADME,ANAKIN,Aggressive negotiations?,874845
PADME,ANAKIN,What's that?,874845
ANAKIN,PADME,"Uh, well, negotiations with a lightsaber.",874845
PADME,ANAKIN,Oh.,874845
ANAKIN,PADME,"If Master Obi-Wan caught me doing this, he'd be very grumpy.",874851
ANAKIN,PADME,From the moment I met you.,874854
ANAKIN,PADME,all those years ago.,874854
ANAKIN,PADME,not a day has gone by when I haven't thought of you.,874859
ANAKIN,PADME,And now that I'm with you again.,874860
ANAKIN,PADME,I'm in agony.,874860
ANAKIN,PADME,"The closer I get to you, the worse it gets.",874862
ANAKIN,PADME,The thought of not being with you-- I can't breathe.,874862
ANAKIN,PADME,I'm haunted by the kiss that you should never have given me.,874866
ANAKIN,PADME,My heart is beating.,874873
ANAKIN,PADME,hoping that that kiss will not become a scar.,874876
ANAKIN,PADME,You are in my very soul.,874882
ANAKIN,PADME,tormenting me.,874889
ANAKIN,PADME,What can I do?,874890
ANAKIN,PADME,I will do anything that you ask.,874892
ANAKIN,PADME,"If you are suffering as much as I am, please, tell me.",874893
PADME,ANAKIN,I can't.,874893
PADME,ANAKIN,We can't.,874893
PADME,ANAKIN,It's.,874898
PADME,ANAKIN,just not possible.,874899
ANAKIN,PADME,"Anything is possible, Padme.",874901
ANAKIN,PADME,Listen to me.,874901
PADME,ANAKIN,"No, you listen.",874909
PADME,ANAKIN,We live in a real world.,874910
PADME,ANAKIN,Come back to it.,874918
PADME,ANAKIN,You're studying to become a Jedi.,874922
PADME,ANAKIN,I'm- I'm a senator.,874922
PADME,ANAKIN,If you follow your thoughts through to conclusion.,874926
PADME,ANAKIN,it'll take us to a place we cannot go.,874926
PADME,ANAKIN,regardless of the way we feel about each other.,874927
ANAKIN,PADME,Then you do feel something.,874927
PADME,ANAKIN,I will not let you give up your future for me.,874927
ANAKIN,PADME,You are asking me to be rational.,874927
ANAKIN,PADME,That is something I know I cannot do.,874928
ANAKIN,PADME,"Believe me, I wish that I could just wish away my feelings.",874928
ANAKIN,PADME,but I can't.,874928
PADME,ANAKIN,I will not give in to this.,874928
ANAKIN,PADME,"Well, you know, it.",874928
ANAKIN,PADME,wouldn't have to be that way.,874928
ANAKIN,PADME,We could keep it a secret.,874928
PADME,ANAKIN,We'd be living a lie.,874928
PADME,ANAKIN,one we couldn't keep even if we wanted to.,874928
PADME,ANAKIN,I couldn't do that.,874928
PADME,ANAKIN,"Could you, Anakin?",874928
PADME,ANAKIN,Could you live like that?,874934
ANAKIN,PADME,No.,874937
ANAKIN,PADME,You're right.,874953
ANAKIN,PADME,It would destroy us.,874953
TAUN WE,OBI-WAN,Tell your council that the first battalions are ready.,874959
TAUN WE,OBI-WAN,"And remind them, if they need more troops.",874962
TAUN WE,OBI-WAN,it will take more time to grow them.,874962
OBI-WAN,TAUN WE,"I won't forget, and thank you.",874962
TAUN WE,OBI-WAN,Thank you.,874962
OBI-WAN,R4,R4!,874962
OBI-WAN,R4,"Scramble code five to Coruscant, care of the old folks' home!",874964
OBI-WAN,"YODA, MACE WINDU",I have successfully made contact with the prime minister of Kamino.,874966
OBI-WAN,"YODA, MACE WINDU",They are using a bounty hunter named Jango Fett to create a clone army.,874967
OBI-WAN,"YODA, MACE WINDU",I have a strong feeling that this bounty hunter.,874967
OBI-WAN,"YODA, MACE WINDU",is the assassin we are looking for.,874967
MACE WINDU,OBI-WAN,Do you think these cloners are involved in the plot to assassinate Senator Amidala?,874967
OBI-WAN,MACE WINDU,"No, Master.",874967
OBI-WAN,MACE WINDU,There appears to be no motive.,874967
YODA,OBI-WAN,"Do not assume anything, Obi-Wan.",874967
YODA,OBI-WAN,Clear your mind must be.,874967
YODA,OBI-WAN,if you are to discover the real villains behind this plot.,874967
OBI-WAN,YODA,"Yes, Master.",874967
OBI-WAN,"YODA, MACE WINDU",They say Master Sifo-Dyas placed an order for a clone army.,874967
OBI-WAN,"YODA, MACE WINDU",at the request of the senate almost ten years ago.,874967
OBI-WAN,"YODA, MACE WINDU",I was under the impression he was killed before that.,874967
OBI-WAN,"YODA, MACE WINDU",Did the council ever authorize the creation of a clone army?,874967
MACE WINDU,OBI-WAN,No.,874967
MACE WINDU,OBI-WAN,Whoever placed that order did not have the authorization of the Jedi Council.,874967
YODA,OBI-WAN,Bring him here.,874967
YODA,OBI-WAN,Question him we will.,874967
OBI-WAN,YODA,"Yes, Master.",874967
OBI-WAN,YODA,I will report back when I have him.,874967
YODA,MACE WINDU,Blind we are if creation of this clone army.,874967
YODA,MACE WINDU,we could not see.,874967
MACE WINDU,YODA,I think it is time we informed the senate.,874967
MACE WINDU,YODA,that our ability to use the Force has diminished.,874967
YODA,MACE WINDU,Only the dark lord of the Sith knows of our weakness.,874967
YODA,MACE WINDU,If informed the senate is.,874967
YODA,MACE WINDU,multiply our adversaries will.,874967
ANAKIN,ANAKIN,No.,874967
ANAKIN,ANAKIN,No.,874967
SHMI,NA,"Anakin, help me.",874967
ANAKIN,NA,"Mom, no.",874967
SHMI,NA,Anakin!,874967
ANAKIN,NA,Don't.,874967
ANAKIN,NA,No.,874967
ANAKIN,NA,No.,874967
ANAKIN,PADME,Don't go.,874967
PADME,ANAKIN,I don't want to disturb you.,874967
ANAKIN,PADME,Your presence is soothing.,874967
PADME,ANAKIN,You had another nightmare last night.,874967
ANAKIN,PADME,Jedi don't have nightmares.,874967
PADME,ANAKIN,I heard you.,874967
ANAKIN,PADME,I saw my mother.,874967
ANAKIN,PADME,"She is suffering, Padme.",874967
ANAKIN,PADME,I saw her as clearly as I see you now.,874967
ANAKIN,PADME,She is in pain.,874967
ANAKIN,PADME,"I know I'm disobeying my mandate to protect you, Senator.",874967
ANAKIN,PADME,but I have to go.,874967
ANAKIN,PADME,I have to help her.,874967
PADME,ANAKIN,I'll go with you.,874967
ANAKIN,PADME,I'm sorry.,874967
ANAKIN,PADME,I don't have a choice.,874967
BOBA FETT,JANGO FETT,"Dad, look!",874967
JANGO FETT,BOBA FETT,"Boba, get on board!",874967
OBI-WAN,OBI-WAN,"Oh, not good.",874967
ANAKIN,NA,Wait right there.,874967
ROBOT,ANAKIN,Okey-okey.,874967
WATTO,ANAKIN,Da wanga!,874967
ANAKIN,WATTO,"Chut-chut, Watto.",874967
ANAKIN,WATTO,Let me help you with that.,874967
WATTO,ANAKIN,What?,874967
WATTO,ANAKIN,What do you want?,874967
WATTO,ANAKIN,Wait!,874967
WATTO,ANAKIN,You're a Jedi!,874967
WATTO,ANAKIN,"Whatever it is, I didn't do it.",874967
ANAKIN,WATTO,I'm looking for Shmi Skywalker.,874967
WATTO,ANAKIN,Ani?,874967
WATTO,ANAKIN,Little Ani?,874967
WATTO,ANAKIN,Nahhh.,874967
WATTO,ANAKIN,You are Ani!,874967
WATTO,ANAKIN,It is you!,874967
WATTO,ANAKIN,"You sure sprouted, huh?",874967
WATTO,ANAKIN,A Jedi!,874967
WATTO,ANAKIN,What do ya know!,874967
WATTO,ANAKIN,Hey.,874967
WATTO,ANAKIN,maybe you could help with some deadbeats who owe me a lot of money.,874967
ANAKIN,WATTO,My mother.,874967
WATTO,ANAKIN,"Oh, yeah.",874967
WATTO,ANAKIN,Shmi.,874967
WATTO,ANAKIN,she's not mine no more.,874967
WATTO,ANAKIN,I sold her.,874967
ANAKIN,WATTO,You sold her?,874967
WATTO,ANAKIN,Years ago.,874967
WATTO,ANAKIN,"Sorry, Ani, but you know, business is business, huh?",874967
WATTO,ANAKIN,"Yeah, I sold her to a moisture farmer named, uh, Lars.",874967
WATTO,ANAKIN,At least I think it was Lars.,874967
WATTO,ANAKIN,"Believe it or not, I heard he freed her and married her!",874967
WATTO,ANAKIN,"Can ya beat that, eh?",874967
WATTO,ANAKIN,Yeah.,874967
ANAKIN,WATTO,Do you know where they are now?,874967
WATTO,ANAKIN,Long way from here.,874967
WATTO,ANAKIN,"Someplace over on the other side of Mos Eisley, I think.",874967
ANAKIN,WATTO,I'd like to know.,874967
WATTO,ANAKIN,Sure.,874967
WATTO,ANAKIN,Absolutely!,874967
WATTO,ANAKIN,Let's go look at my records?,874967
BOBA FETT,JANGO FETT,Dad!,874967
BOBA FETT,JANGO FETT,I think we're being tracked!,874967
JANGO FETT,BOBA FETT,He must have put a homing device on our hull.,874967
JANGO FETT,BOBA FETT,"Hang on, son.",874967
JANGO FETT,BOBA FETT,We'll move into the asteroid field.,874967
JANGO FETT,BOBA FETT,and we'll have a couple of surprises for him.,874967
OBI-WAN,R4,Seismic charges!,874967
OBI-WAN,R4,Stand by.,874967
JANGO FETT,BOBA FETT,"He doesn't seem to take a hint, this guy.",874967
BOBA FETT,JANGO FETT,Watch out!,874967
BOBA FETT,JANGO FETT,"Get him, Dad!",874967
BOBA FETT,JANGO FETT,Get him!,874967
BOBA FETT,JANGO FETT,Fire!,874967
OBI-WAN,OBI-WAN,"Oh, blast!",874967
OBI-WAN,OBI-WAN,This is why I hate flying!,874967
BOBA FETT,JANGO FETT,We got him!,874967
JANGO FETT,BOBA FETT,We'll just have to finish him.,874967
OBI-WAN,R4,"R4, prepare to jettison the spare part canisters.",874967
OBI-WAN,R4,Fire them now!,874967
JANGO FETT,BOBA FETT,"Well, we won't be seeing him again.",874967
OBI-WAN,R4,"Well, R4, I think we've waited long enough.",874967
OBI-WAN,R4,"There's an unusual concentration of Federation ships over there, R4.",874967
R2D2,"PADME, ANAKIN","[Whistles, Beeps ]",874967
PADME,R2D2,"Stay with the ship, R2.",874967
R2D2,PADME,[ Beeping ]
THREEPIO,"ANAKIN, PADME",Oh!,874967
THREEPIO,"ANAKIN, PADME","Um, uh, hello.",874967
THREEPIO,"ANAKIN, PADME",How might I be of service?,874967
THREEPIO,"ANAKIN, PADME",I am C--.,874967
ANAKIN,THREEPIO,Threepio?,874967
THREEPIO,ANAKIN,Oh-- The maker!,874967
THREEPIO,ANAKIN,"Oh, Master Ani!",874967
THREEPIO,ANAKIN,I knew you would return.,874967
THREEPIO,ANAKIN,I knew it!,874967
THREEPIO,PADME,And Miss Padme.,874967
THREEPIO,PADME,"Oh, my.",874967
PADME,THREEPIO,"Hello, 3PO.",874967
THREEPIO,"THREEPIO, ANAKIN, PADME",Bless my circuits!,874967
THREEPIO,"ANAKIN, PADME",I'm so pleased to see you both.,874967
ANAKIN,THREEPIO,I've come to see my mother.,874967
THREEPIO,"ANAKIN, PADME",Oh.,874967
THREEPIO,"ANAKIN, PADME",I think perhaps we'd better go indoors.,874967
THREEPIO,"OWEN LARS, ANAKIN, PADME","Master Owen, might I present two most important visitors.",874967
ANAKIN,OWEN LARS,I'm Anakin Skywalker.,874967
OWEN LARS,"ANAKIN, PADME",Owen Lars.,874967
OWEN LARS,"ANAKIN, PADME","Uh, this is my girlfriend, Beru.",874967
BERU,"ANAKIN, PADME",Hello.,874967
PADME,"OWEN, BERU",I'm Padme.,874967
OWEN LARS,ANAKIN,I guess I'm your stepbrother.,874967
OWEN LARS,ANAKIN,I had a feeling you might show up someday.,874967
ANAKIN,OWEN LARS,Is my mother here?,874967
CLIEGG LARS,ANAKIN,"No, she's not.",874967
CLIEGG LARS,ANAKIN,Cliegg Lars.,874967
CLIEGG LARS,ANAKIN,Shmi is my wife.,874967
CLIEGG LARS,ANAKIN,We should go inside.,874967
CLIEGG LARS,ANAKIN,We have a lot to talk about.,874967
CLIEGG LARS,"ANAKIN, PADME",It was just before dawn.,874967
CLIEGG LARS,"ANAKIN, PADME",They came out of nowhere.,874967
CLIEGG LARS,"ANAKIN, PADME",A hunting party of Tusken Raiders.,874967
CLIEGG LARS,"ANAKIN, PADME","Your mother had gone out early, like she always did.",874967
CLIEGG LARS,"ANAKIN, PADME",to pick mushrooms that grow on the vaporators.,874967
CLIEGG LARS,"ANAKIN, PADME","From the tracks, she was about halfway home.",874967
CLIEGG LARS,"ANAKIN, PADME",when they took her.,874967
CLIEGG LARS,"ANAKIN, PADME",Those Tuskens walk like men.,874967
CLIEGG LARS,"ANAKIN, PADME","but they're vicious, mindless monsters.",874967
CLIEGG LARS,"ANAKIN, PADME",Thirty of us went out after her.,874967
CLIEGG LARS,"ANAKIN, PADME",Four of us came back.,874967
CLIEGG LARS,"ANAKIN, PADME","I'd be out there with them, but after I lost my leg.",874967
CLIEGG LARS,"ANAKIN, PADME",I just couldn't ride anymore until I heal.,874967
CLIEGG LARS,"ANAKIN, PADME",I don't want to give up on her.,874967
CLIEGG LARS,"ANAKIN, PADME",but she's been gone a month.,874967
CLIEGG LARS,"ANAKIN, PADME",There's little hope she's lasted this long.,874967
OWEN LARS,ANAKIN,Where are you going?,874967
ANAKIN,OWEN LARS,To find my mother.,874967
CLIEGG LARS,ANAKIN,"Your mother's dead, son.",874967
CLIEGG LARS,ANAKIN,Accept it.,874967
ANAKIN,PADME,You're gonna have to stay here.,874967
ANAKIN,PADME,"These are good people, Padme.",874967
ANAKIN,PADME,You'll be safe.,874967
PADME,ANAKIN,Anakin--,874967
ANAKIN,PADME,I won't be long.,874967
COUNT DOOKU,NUTE,We must persuade,874967
COUNT DOOKU,NUTE,the Commerce Guild.,874967
COUNT DOOKU,NUTE,and the Corporate Alliance to sign the treaty.,874967
NUTE,COUNT DOOKU,What about the senator from Naboo?,874967
NUTE,COUNT DOOKU,Is she dead yet?,874967
NUTE,COUNT DOOKU,I am not signing your treaty until I have her head on my desk.,874967
COUNT DOOKU,NUTE,"I am a man of my word, Viceroy.",874967
ALIEN,NA,With these new battle droids we've built for you.,874967
ALIEN,NA,you'll have the finest army in the galaxy.,874967
COUNT DOOKU,NA,As I explained to you earlier.,874967
COUNT DOOKU,NA,"I am quite convinced that 10,000 more systems.",874967
COUNT DOOKU,NA,"will rally to our cause with your support, gentlemen.",874967
ALIEN,NA,What you are proposing could be construed as treason.,874967
CYBORG,NA,The Techno Union army.,874967
CYBORG,NA,"is at your disposal, Count.",874967
ALIEN 2,NA,The Banking Clan will sign your treaty.,874967
COUNT DOOKU,NA,Good.,874967
COUNT DOOKU,NA,Very good.,874967
COUNT DOOKU,NA,Our friends from the Trade Federation have pledged their support.,874967
COUNT DOOKU,NA,and when their battle droids are combined with yours.,874967
